,score,label_value,race,sex,model_id
59,0.0,0.0,BLACK,MALE,1
60,1.0,0.0,BLACK,MALE,1
61,0.0,0.0,WHITE,MALE,1
62,1.0,0.0,BLACK HISPANIC,MALE,1
63,0.0,0.0,WHITE,MALE,1
64,1.0,0.0,BLACK,MALE,1
65,0.0,0.0,BLACK,MALE,1
66,1.0,0.0,BLACK,MALE,1
67,0.0,0.0,BLACK,MALE,1
68,1.0,0.0,WHITE HISPANIC,MALE,1
69,0.0,0.0,WHITE HISPANIC,MALE,1
70,1.0,0.0,WHITE HISPANIC,MALE,1
71,1.0,0.0,WHITE,MALE,1
72,1.0,1.0,BLACK,MALE,1
73,0.0,0.0,WHITE HISPANIC,FEMALE,1
74,1.0,0.0,WHITE HISPANIC,FEMALE,1
75,0.0,0.0,BLACK,FEMALE,1
76,1.0,0.0,WHITE,MALE,1
77,0.0,0.0,WHITE HISPANIC,MALE,1
78,1.0,0.0,ASIAN/PAC.ISL,MALE,1
79,0.0,0.0,BLACK,MALE,1
80,1.0,0.0,BLACK,MALE,1
81,0.0,0.0,ASIAN/PAC.ISL,MALE,1
82,1.0,0.0,BLACK,MALE,1
83,0.0,0.0,WHITE,MALE,1
84,1.0,0.0,WHITE HISPANIC,MALE,1
85,1.0,0.0,BLACK,MALE,1
86,1.0,1.0,ASIAN/PAC.ISL,MALE,1
87,0.0,0.0,BLACK,MALE,1
88,1.0,0.0,BLACK,MALE,1
89,0.0,0.0,BLACK,MALE,1
90,1.0,1.0,BLACK,FEMALE,1
91,0.0,0.0,WHITE HISPANIC,MALE,1
92,1.0,0.0,WHITE HISPANIC,MALE,1
93,0.0,0.0,ASIAN/PAC.ISL,MALE,1
94,1.0,0.0,WHITE HISPANIC,MALE,1
95,0.0,0.0,ASIAN/PAC.ISL,MALE,1
96,1.0,0.0,BLACK HISPANIC,MALE,1
97,0.0,0.0,BLACK,MALE,1
98,1.0,0.0,ASIAN/PAC.ISL,MALE,1
99,1.0,0.0,WHITE HISPANIC,MALE,1
100,1.0,0.0,BLACK HISPANIC,MALE,1
101,0.0,0.0,WHITE HISPANIC,MALE,1
102,1.0,0.0,ASIAN/PAC.ISL,MALE,1
103,0.0,0.0,WHITE HISPANIC,MALE,1
104,1.0,0.0,ASIAN/PAC.ISL,MALE,1
105,0.0,0.0,ASIAN/PAC.ISL,MALE,1
106,1.0,0.0,BLACK HISPANIC,MALE,1
107,0.0,0.0,BLACK HISPANIC,FEMALE,1
108,1.0,1.0,WHITE,FEMALE,1
109,0.0,0.0,WHITE HISPANIC,MALE,1
110,1.0,0.0,BLACK,FEMALE,1
111,0.0,0.0,WHITE HISPANIC,MALE,1
112,1.0,0.0,ASIAN/PAC.ISL,FEMALE,1
113,1.0,0.0,BLACK,MALE,1
114,1.0,0.0,WHITE HISPANIC,MALE,1
115,0.0,0.0,BLACK,MALE,1
116,1.0,0.0,BLACK,MALE,1
117,0.0,0.0,BLACK,MALE,1
118,1.0,0.0,WHITE HISPANIC,MALE,1
119,0.0,0.0,WHITE HISPANIC,MALE,1
120,1.0,0.0,BLACK,MALE,1
121,0.0,0.0,WHITE HISPANIC,MALE,1
122,1.0,0.0,BLACK,MALE,1
123,0.0,0.0,BLACK HISPANIC,MALE,1
124,1.0,0.0,WHITE HISPANIC,MALE,1
125,0.0,0.0,BLACK,MALE,1
126,1.0,1.0,WHITE,MALE,1
127,1.0,0.0,WHITE,MALE,1
128,1.0,0.0,WHITE,MALE,1
129,0.0,0.0,WHITE,MALE,1
130,1.0,0.0,WHITE HISPANIC,MALE,1
131,0.0,0.0,BLACK,MALE,1
132,1.0,0.0,WHITE HISPANIC,MALE,1
133,0.0,0.0,WHITE HISPANIC,MALE,1
134,1.0,0.0,WHITE HISPANIC,FEMALE,1
135,0.0,0.0,BLACK,MALE,1
136,1.0,0.0,BLACK,MALE,1
137,0.0,0.0,BLACK HISPANIC,MALE,1
138,1.0,0.0,BLACK,MALE,1
139,0.0,0.0,BLACK,MALE,1
140,1.0,0.0,WHITE,MALE,1
141,1.0,0.0,BLACK,MALE,1
142,1.0,0.0,BLACK HISPANIC,MALE,1
143,0.0,0.0,BLACK,MALE,1
144,1.0,1.0,BLACK HISPANIC,FEMALE,1
145,0.0,0.0,WHITE HISPANIC,MALE,1
146,1.0,0.0,WHITE,MALE,1
147,0.0,0.0,WHITE HISPANIC,MALE,1
148,1.0,0.0,WHITE HISPANIC,MALE,1
149,0.0,0.0,WHITE HISPANIC,MALE,1
150,1.0,0.0,BLACK,MALE,1
151,0.0,1.0,BLACK HISPANIC,MALE,1
152,1.0,0.0,BLACK,MALE,1
153,0.0,0.0,BLACK,FEMALE,1
154,1.0,0.0,BLACK,MALE,1
155,1.0,1.0,BLACK,MALE,1
156,1.0,0.0,BLACK,MALE,1
157,0.0,0.0,BLACK,MALE,1
158,1.0,0.0,WHITE,MALE,1
159,0.0,0.0,BLACK,MALE,1
160,1.0,0.0,BLACK,MALE,1
161,0.0,0.0,WHITE,MALE,1
162,1.0,1.0,WHITE,MALE,1
163,0.0,0.0,BLACK,MALE,1
164,1.0,0.0,BLACK,MALE,1
165,0.0,0.0,BLACK,MALE,1
166,1.0,0.0,BLACK,MALE,1
167,0.0,0.0,WHITE HISPANIC,MALE,1
168,1.0,0.0,BLACK,MALE,1
169,1.0,0.0,BLACK,MALE,1
170,1.0,0.0,WHITE,MALE,1
171,0.0,0.0,WHITE HISPANIC,MALE,1
172,1.0,0.0,BLACK,MALE,1
173,0.0,0.0,WHITE HISPANIC,FEMALE,1
174,1.0,0.0,BLACK,MALE,1
175,0.0,0.0,BLACK,MALE,1
176,1.0,0.0,BLACK,MALE,1
177,0.0,0.0,BLACK,MALE,1
178,1.0,0.0,WHITE,MALE,1
179,0.0,0.0,BLACK,FEMALE,1
180,1.0,1.0,WHITE,MALE,1
181,0.0,0.0,BLACK,MALE,1
182,1.0,0.0,WHITE,MALE,1
183,1.0,0.0,WHITE,MALE,1
184,1.0,0.0,BLACK,MALE,1
185,0.0,0.0,BLACK,FEMALE,1
186,1.0,0.0,BLACK,MALE,1
187,0.0,0.0,BLACK,MALE,1
188,1.0,0.0,BLACK,MALE,1
189,0.0,0.0,BLACK,MALE,1
190,1.0,0.0,BLACK,MALE,1
191,0.0,0.0,BLACK,MALE,1
192,1.0,0.0,BLACK HISPANIC,MALE,1
193,0.0,0.0,BLACK,MALE,1
194,1.0,0.0,BLACK,MALE,1
195,0.0,0.0,BLACK,MALE,1
196,1.0,0.0,BLACK,MALE,1
197,1.0,0.0,BLACK,MALE,1
198,1.0,1.0,BLACK,FEMALE,1
199,0.0,0.0,BLACK HISPANIC,FEMALE,1
200,1.0,0.0,BLACK HISPANIC,FEMALE,1
201,0.0,0.0,BLACK,FEMALE,1
202,1.0,1.0,WHITE,MALE,1
203,0.0,0.0,BLACK,MALE,1
204,1.0,0.0,BLACK,MALE,1
205,0.0,0.0,BLACK,MALE,1
206,1.0,0.0,WHITE HISPANIC,FEMALE,1
207,0.0,0.0,WHITE HISPANIC,MALE,1
208,1.0,0.0,WHITE HISPANIC,MALE,1
209,0.0,0.0,WHITE HISPANIC,MALE,1
210,1.0,0.0,BLACK,MALE,1
211,1.0,0.0,BLACK,MALE,1
212,1.0,0.0,BLACK,MALE,1
213,0.0,0.0,BLACK,FEMALE,1
214,1.0,0.0,BLACK HISPANIC,MALE,1
215,0.0,0.0,BLACK,MALE,1
216,1.0,1.0,WHITE,FEMALE,1
217,0.0,0.0,BLACK,MALE,1
218,1.0,0.0,BLACK,MALE,1
219,0.0,0.0,BLACK,MALE,1
220,1.0,0.0,WHITE HISPANIC,FEMALE,1
221,0.0,0.0,BLACK,MALE,1
222,1.0,0.0,WHITE HISPANIC,MALE,1
223,0.0,0.0,BLACK,MALE,1
224,1.0,0.0,BLACK,MALE,1
225,1.0,1.0,WHITE HISPANIC,MALE,1
226,1.0,0.0,BLACK HISPANIC,FEMALE,1
227,0.0,0.0,BLACK HISPANIC,FEMALE,1
228,1.0,0.0,WHITE,FEMALE,1
229,0.0,1.0,WHITE HISPANIC,MALE,1
230,1.0,1.0,WHITE HISPANIC,MALE,1
231,0.0,0.0,WHITE HISPANIC,MALE,1
232,1.0,0.0,BLACK,MALE,1
233,0.0,0.0,WHITE,FEMALE,1
234,1.0,1.0,WHITE,MALE,1
235,0.0,1.0,WHITE HISPANIC,MALE,1
236,1.0,0.0,BLACK,MALE,1
237,0.0,0.0,BLACK,MALE,1
238,1.0,0.0,WHITE,MALE,1
239,1.0,0.0,WHITE HISPANIC,MALE,1
240,1.0,0.0,WHITE HISPANIC,MALE,1
241,0.0,0.0,WHITE HISPANIC,FEMALE,1
242,1.0,0.0,WHITE HISPANIC,MALE,1
243,0.0,0.0,BLACK,MALE,1
244,1.0,0.0,WHITE HISPANIC,FEMALE,1
245,0.0,0.0,WHITE HISPANIC,MALE,1
246,1.0,0.0,WHITE HISPANIC,MALE,1
247,0.0,0.0,WHITE HISPANIC,MALE,1
248,1.0,0.0,BLACK,MALE,1
249,0.0,0.0,BLACK,MALE,1
250,1.0,0.0,BLACK,FEMALE,1
251,0.0,0.0,WHITE HISPANIC,MALE,1
252,1.0,1.0,WHITE,MALE,1
253,1.0,0.0,WHITE HISPANIC,MALE,1
254,1.0,0.0,BLACK HISPANIC,MALE,1
255,0.0,0.0,BLACK,MALE,1
256,1.0,1.0,BLACK,MALE,1
257,0.0,0.0,WHITE HISPANIC,MALE,1
258,1.0,0.0,WHITE HISPANIC,MALE,1
259,0.0,0.0,WHITE HISPANIC,MALE,1
260,1.0,0.0,BLACK,MALE,1
261,0.0,0.0,WHITE HISPANIC,MALE,1
262,1.0,0.0,BLACK,MALE,1
263,0.0,0.0,WHITE HISPANIC,MALE,1
264,1.0,0.0,BLACK,MALE,1
265,0.0,0.0,WHITE,MALE,1
266,1.0,0.0,BLACK,MALE,1
267,1.0,0.0,WHITE HISPANIC,MALE,1
268,1.0,0.0,BLACK,MALE,1
269,0.0,0.0,BLACK,MALE,1
270,1.0,1.0,WHITE HISPANIC,FEMALE,1
271,0.0,0.0,BLACK,MALE,1
272,1.0,0.0,BLACK,FEMALE,1
273,0.0,0.0,BLACK,MALE,1
274,1.0,0.0,BLACK,MALE,1
275,0.0,1.0,BLACK,MALE,1
276,1.0,1.0,BLACK,MALE,1
277,0.0,0.0,BLACK,MALE,1
278,1.0,0.0,BLACK,MALE,1
279,0.0,0.0,BLACK HISPANIC,MALE,1
280,1.0,0.0,BLACK,FEMALE,1
281,1.0,1.0,BLACK,MALE,1
282,1.0,0.0,BLACK,MALE,1
283,0.0,0.0,BLACK,MALE,1
284,1.0,0.0,WHITE HISPANIC,MALE,1
285,0.0,0.0,ASIAN/PAC.ISL,FEMALE,1
286,1.0,0.0,BLACK HISPANIC,MALE,1
287,0.0,0.0,BLACK,MALE,1
288,1.0,1.0,BLACK,MALE,1
289,0.0,0.0,BLACK,MALE,1
290,1.0,0.0,BLACK,MALE,1
291,0.0,0.0,BLACK,MALE,1
292,1.0,0.0,BLACK,MALE,1
293,0.0,0.0,WHITE HISPANIC,MALE,1
294,1.0,0.0,BLACK,MALE,1
295,1.0,1.0,BLACK,MALE,1
296,1.0,0.0,WHITE HISPANIC,MALE,1
297,0.0,0.0,BLACK,MALE,1
298,1.0,0.0,BLACK,MALE,1
299,0.0,0.0,WHITE,MALE,1
300,1.0,0.0,BLACK,MALE,1
301,0.0,0.0,BLACK HISPANIC,MALE,1
302,1.0,0.0,WHITE HISPANIC,MALE,1
303,0.0,0.0,BLACK,MALE,1
304,1.0,0.0,WHITE HISPANIC,FEMALE,1
305,0.0,0.0,BLACK,FEMALE,1
306,1.0,1.0,WHITE,FEMALE,1
307,0.0,0.0,BLACK,FEMALE,1
308,1.0,0.0,BLACK HISPANIC,MALE,1
309,1.0,0.0,BLACK,MALE,1
310,1.0,0.0,BLACK,MALE,1
311,0.0,0.0,WHITE HISPANIC,MALE,1
312,1.0,0.0,WHITE HISPANIC,MALE,1
313,0.0,0.0,BLACK,MALE,1
314,1.0,0.0,WHITE HISPANIC,MALE,1
315,0.0,0.0,WHITE HISPANIC,MALE,1
316,1.0,0.0,WHITE HISPANIC,MALE,1
317,0.0,0.0,WHITE HISPANIC,FEMALE,1
318,1.0,0.0,WHITE HISPANIC,MALE,1
319,0.0,0.0,WHITE,MALE,1
320,1.0,0.0,BLACK,MALE,1
321,0.0,0.0,BLACK,MALE,1
322,1.0,0.0,WHITE,FEMALE,1
323,1.0,0.0,BLACK HISPANIC,MALE,1
324,1.0,1.0,WHITE HISPANIC,FEMALE,1
325,0.0,0.0,BLACK,MALE,1
326,1.0,0.0,BLACK,MALE,1
327,0.0,0.0,WHITE,MALE,1
328,1.0,0.0,BLACK HISPANIC,MALE,1
329,0.0,0.0,WHITE HISPANIC,MALE,1
330,1.0,0.0,BLACK HISPANIC,MALE,1
331,0.0,0.0,BLACK HISPANIC,FEMALE,1
332,1.0,0.0,BLACK,MALE,1
333,0.0,0.0,WHITE HISPANIC,MALE,1
334,1.0,0.0,WHITE HISPANIC,MALE,1
335,0.0,0.0,WHITE HISPANIC,MALE,1
336,1.0,0.0,WHITE HISPANIC,MALE,1
337,1.0,0.0,WHITE HISPANIC,MALE,1
338,1.0,0.0,BLACK HISPANIC,MALE,1
339,0.0,0.0,BLACK HISPANIC,MALE,1
340,1.0,0.0,BLACK HISPANIC,MALE,1
341,0.0,0.0,BLACK,FEMALE,1
342,1.0,1.0,BLACK,MALE,1
343,0.0,0.0,WHITE HISPANIC,MALE,1
344,1.0,0.0,WHITE HISPANIC,MALE,1
345,0.0,1.0,WHITE,MALE,1
346,1.0,0.0,BLACK,MALE,1
347,0.0,0.0,WHITE HISPANIC,MALE,1
348,1.0,0.0,BLACK,MALE,1
349,0.0,0.0,BLACK,MALE,1
350,1.0,0.0,WHITE,FEMALE,1
351,1.0,0.0,BLACK,FEMALE,1
352,1.0,0.0,BLACK,MALE,1
353,0.0,0.0,WHITE HISPANIC,MALE,1
354,1.0,0.0,BLACK,MALE,1
355,0.0,1.0,BLACK HISPANIC,MALE,1
356,1.0,0.0,WHITE HISPANIC,MALE,1
357,0.0,0.0,BLACK,MALE,1
358,1.0,0.0,BLACK HISPANIC,MALE,1
359,0.0,0.0,BLACK HISPANIC,MALE,1
360,1.0,1.0,BLACK,MALE,1
361,0.0,0.0,BLACK,MALE,1
362,1.0,0.0,WHITE HISPANIC,MALE,1
363,0.0,0.0,BLACK HISPANIC,MALE,1
364,1.0,0.0,WHITE HISPANIC,FEMALE,1
365,1.0,0.0,WHITE HISPANIC,MALE,1
366,1.0,0.0,WHITE HISPANIC,MALE,1
367,0.0,0.0,BLACK,MALE,1
368,1.0,0.0,BLACK,MALE,1
369,0.0,0.0,WHITE,FEMALE,1
370,1.0,0.0,WHITE HISPANIC,MALE,1
371,0.0,0.0,BLACK,MALE,1
372,1.0,0.0,WHITE HISPANIC,MALE,1
373,0.0,0.0,BLACK,MALE,1
374,1.0,0.0,WHITE HISPANIC,MALE,1
375,0.0,1.0,WHITE,MALE,1
376,1.0,0.0,WHITE,MALE,1
377,0.0,0.0,BLACK,MALE,1
378,1.0,1.0,BLACK,MALE,1
379,1.0,0.0,BLACK,MALE,1
380,1.0,0.0,BLACK,MALE,1
381,0.0,0.0,WHITE,MALE,1
382,1.0,0.0,BLACK,MALE,1
383,0.0,1.0,WHITE HISPANIC,MALE,1
384,1.0,0.0,BLACK,FEMALE,1
385,0.0,0.0,BLACK,MALE,1
386,1.0,0.0,BLACK,MALE,1
387,0.0,1.0,BLACK,MALE,1
388,1.0,0.0,WHITE HISPANIC,MALE,1
389,0.0,0.0,BLACK,MALE,1
390,1.0,0.0,WHITE HISPANIC,MALE,1
391,0.0,0.0,BLACK,FEMALE,1
392,1.0,0.0,BLACK,FEMALE,1
393,1.0,0.0,BLACK,FEMALE,1
394,1.0,0.0,BLACK HISPANIC,MALE,1
395,0.0,0.0,BLACK,MALE,1
396,1.0,1.0,WHITE,MALE,1
397,0.0,0.0,WHITE HISPANIC,MALE,1
398,1.0,1.0,BLACK,MALE,1
399,0.0,0.0,WHITE HISPANIC,MALE,1
400,1.0,0.0,WHITE HISPANIC,MALE,1
401,0.0,0.0,WHITE HISPANIC,MALE,1
402,1.0,0.0,WHITE HISPANIC,MALE,1
403,0.0,0.0,BLACK,FEMALE,1
404,1.0,0.0,BLACK,FEMALE,1
405,0.0,0.0,BLACK,FEMALE,1
406,1.0,0.0,BLACK,MALE,1
407,1.0,0.0,WHITE,MALE,1
408,1.0,0.0,BLACK,MALE,1
409,0.0,0.0,BLACK,MALE,1
410,1.0,0.0,BLACK,MALE,1
411,0.0,0.0,BLACK,MALE,1
412,1.0,0.0,BLACK,MALE,1
413,0.0,0.0,BLACK,MALE,1
414,1.0,1.0,BLACK,MALE,1
415,0.0,0.0,WHITE HISPANIC,MALE,1
416,1.0,0.0,WHITE,MALE,1
417,0.0,0.0,WHITE HISPANIC,MALE,1
418,1.0,0.0,BLACK,MALE,1
419,0.0,0.0,WHITE,MALE,1
420,1.0,0.0,WHITE HISPANIC,MALE,1
421,1.0,0.0,BLACK,MALE,1
422,1.0,0.0,WHITE HISPANIC,MALE,1
423,0.0,0.0,WHITE HISPANIC,MALE,1
424,1.0,0.0,WHITE HISPANIC,FEMALE,1
425,0.0,0.0,BLACK,MALE,1
426,1.0,0.0,BLACK,MALE,1
427,0.0,0.0,BLACK,MALE,1
428,1.0,0.0,BLACK,MALE,1
429,0.0,0.0,AMER IND,MALE,1
430,1.0,0.0,BLACK,MALE,1
431,0.0,1.0,BLACK HISPANIC,MALE,1
432,1.0,1.0,WHITE HISPANIC,MALE,1
433,0.0,0.0,BLACK,MALE,1
434,1.0,0.0,BLACK,MALE,1
435,1.0,0.0,WHITE HISPANIC,MALE,1
436,1.0,0.0,ASIAN/PAC.ISL,MALE,1
437,0.0,0.0,ASIAN/PAC.ISL,MALE,1
438,1.0,0.0,BLACK,MALE,1
439,0.0,0.0,BLACK,FEMALE,1
440,1.0,0.0,BLACK HISPANIC,FEMALE,1
441,0.0,0.0,WHITE,MALE,1
442,1.0,0.0,BLACK,FEMALE,1
443,0.0,0.0,BLACK,FEMALE,1
444,1.0,0.0,BLACK,MALE,1
445,0.0,0.0,WHITE HISPANIC,MALE,1
446,1.0,0.0,WHITE HISPANIC,MALE,1
447,0.0,0.0,BLACK,MALE,1
448,1.0,0.0,WHITE HISPANIC,MALE,1
449,1.0,0.0,WHITE HISPANIC,MALE,1
450,1.0,1.0,BLACK,MALE,1
451,0.0,1.0,BLACK,MALE,1
452,1.0,0.0,WHITE HISPANIC,MALE,1
453,0.0,0.0,BLACK,MALE,1
454,1.0,0.0,BLACK HISPANIC,MALE,1
455,0.0,0.0,WHITE HISPANIC,FEMALE,1
456,1.0,0.0,BLACK HISPANIC,MALE,1
457,0.0,0.0,BLACK,MALE,1
458,1.0,0.0,WHITE,MALE,1
459,0.0,0.0,WHITE HISPANIC,MALE,1
460,1.0,0.0,BLACK,MALE,1
461,0.0,0.0,BLACK,FEMALE,1
462,1.0,0.0,BLACK,MALE,1
463,1.0,0.0,WHITE HISPANIC,MALE,1
464,1.0,1.0,BLACK,MALE,1
465,0.0,0.0,BLACK,MALE,1
466,1.0,0.0,WHITE,MALE,1
467,0.0,0.0,BLACK,MALE,1
468,1.0,1.0,BLACK,MALE,1
469,0.0,0.0,WHITE HISPANIC,FEMALE,1
470,1.0,0.0,WHITE HISPANIC,MALE,1
471,0.0,0.0,WHITE HISPANIC,MALE,1
472,1.0,0.0,BLACK,MALE,1
473,0.0,0.0,WHITE,MALE,1
474,1.0,0.0,WHITE HISPANIC,MALE,1
475,0.0,0.0,BLACK,MALE,1
476,1.0,0.0,BLACK,MALE,1
477,1.0,0.0,WHITE HISPANIC,FEMALE,1
478,1.0,0.0,WHITE HISPANIC,MALE,1
479,0.0,0.0,BLACK HISPANIC,MALE,1
480,1.0,0.0,WHITE,MALE,1
481,0.0,0.0,BLACK,MALE,1
482,1.0,0.0,WHITE HISPANIC,MALE,1
483,0.0,0.0,BLACK HISPANIC,MALE,1
484,1.0,0.0,WHITE HISPANIC,MALE,1
485,0.0,0.0,BLACK,MALE,1
486,1.0,1.0,WHITE HISPANIC,MALE,1
487,0.0,1.0,BLACK,MALE,1
488,1.0,0.0,WHITE,MALE,1
489,0.0,0.0,WHITE,MALE,1
490,1.0,0.0,BLACK,FEMALE,1
491,1.0,0.0,BLACK,FEMALE,1
492,1.0,0.0,BLACK,FEMALE,1
493,0.0,0.0,WHITE HISPANIC,MALE,1
494,1.0,0.0,BLACK HISPANIC,MALE,1
495,0.0,0.0,WHITE HISPANIC,MALE,1
496,1.0,1.0,WHITE,MALE,1
497,0.0,0.0,WHITE,MALE,1
498,1.0,0.0,WHITE,MALE,1
499,0.0,0.0,WHITE,MALE,1
500,1.0,0.0,BLACK,MALE,1
501,0.0,0.0,WHITE HISPANIC,MALE,1
502,1.0,0.0,BLACK,MALE,1
503,0.0,1.0,BLACK HISPANIC,MALE,1
504,1.0,1.0,BLACK,MALE,1
505,1.0,1.0,BLACK,MALE,1
506,1.0,0.0,BLACK,MALE,1
507,0.0,0.0,WHITE HISPANIC,MALE,1
508,1.0,0.0,ASIAN/PAC.ISL,MALE,1
509,0.0,0.0,WHITE HISPANIC,MALE,1
510,1.0,0.0,BLACK,MALE,1
511,0.0,0.0,BLACK,MALE,1
512,1.0,0.0,BLACK,MALE,1
513,0.0,0.0,BLACK,MALE,1
514,1.0,0.0,BLACK,MALE,1
515,0.0,0.0,WHITE,MALE,1
516,1.0,0.0,ASIAN/PAC.ISL,MALE,1
517,0.0,0.0,BLACK,MALE,1
518,1.0,0.0,BLACK,MALE,1
519,1.0,0.0,WHITE,MALE,1
520,1.0,0.0,WHITE HISPANIC,MALE,1
521,0.0,0.0,WHITE HISPANIC,MALE,1
522,1.0,1.0,BLACK,MALE,1
523,0.0,0.0,BLACK,MALE,1
524,1.0,0.0,BLACK,MALE,1
525,0.0,1.0,WHITE HISPANIC,MALE,1
526,1.0,0.0,BLACK HISPANIC,MALE,1
527,0.0,0.0,BLACK,FEMALE,1
528,1.0,0.0,BLACK,MALE,1
529,0.0,1.0,BLACK,MALE,1
530,1.0,0.0,WHITE,MALE,1
531,0.0,0.0,BLACK,MALE,1
532,1.0,0.0,WHITE HISPANIC,MALE,1
533,1.0,0.0,BLACK,FEMALE,1
534,1.0,0.0,WHITE HISPANIC,FEMALE,1
535,0.0,0.0,BLACK HISPANIC,MALE,1
536,1.0,0.0,BLACK,MALE,1
537,0.0,0.0,WHITE,FEMALE,1
538,1.0,0.0,WHITE,MALE,1
539,0.0,0.0,BLACK HISPANIC,MALE,1
540,1.0,1.0,BLACK,MALE,1
541,0.0,0.0,WHITE,MALE,1
542,1.0,0.0,BLACK,MALE,1
543,0.0,0.0,BLACK,MALE,1
544,1.0,0.0,WHITE HISPANIC,MALE,1
545,0.0,0.0,BLACK,MALE,1
546,1.0,0.0,BLACK,MALE,1
547,1.0,0.0,BLACK,MALE,1
548,1.0,0.0,BLACK,MALE,1
549,0.0,0.0,WHITE,MALE,1
550,1.0,0.0,BLACK,MALE,1
551,0.0,0.0,BLACK,FEMALE,1
552,1.0,0.0,BLACK,MALE,1
553,0.0,0.0,WHITE,MALE,1
554,1.0,1.0,WHITE HISPANIC,MALE,1
555,0.0,0.0,WHITE HISPANIC,MALE,1
556,1.0,0.0,BLACK,MALE,1
557,0.0,0.0,WHITE HISPANIC,MALE,1
558,1.0,1.0,BLACK,MALE,1
559,0.0,1.0,WHITE,MALE,1
560,1.0,0.0,BLACK,MALE,1
561,1.0,0.0,BLACK,MALE,1
562,1.0,1.0,WHITE HISPANIC,MALE,1
563,0.0,1.0,WHITE,MALE,1
564,1.0,1.0,WHITE,MALE,1
565,0.0,1.0,BLACK,MALE,1
566,1.0,1.0,WHITE,MALE,1
567,0.0,1.0,WHITE,MALE,1
568,1.0,1.0,WHITE HISPANIC,MALE,1
569,0.0,1.0,BLACK,MALE,1
570,1.0,1.0,WHITE HISPANIC,MALE,1
571,0.0,1.0,BLACK,MALE,1
572,1.0,1.0,WHITE,MALE,1
573,0.0,0.0,BLACK,MALE,1
574,1.0,1.0,WHITE HISPANIC,MALE,1
575,1.0,0.0,BLACK,MALE,1
576,1.0,1.0,BLACK,MALE,1
577,0.0,1.0,BLACK,MALE,1
578,1.0,0.0,WHITE HISPANIC,MALE,1
579,0.0,0.0,BLACK,MALE,1
580,1.0,0.0,BLACK,MALE,1
581,0.0,0.0,WHITE HISPANIC,MALE,1
582,1.0,0.0,BLACK,MALE,1
583,0.0,0.0,WHITE,MALE,1
584,1.0,0.0,WHITE HISPANIC,MALE,1
585,0.0,0.0,BLACK,MALE,1
586,1.0,1.0,WHITE HISPANIC,MALE,1
587,0.0,0.0,BLACK,MALE,1
588,1.0,1.0,WHITE,MALE,1
589,1.0,0.0,BLACK,MALE,1
590,1.0,1.0,BLACK,MALE,1
