entity_id,score,label_value,race,sex,age_cat
166,1.0,1,African-American,Male,Less than 25
169,0.0,1,Caucasian,Male,25 - 45
171,1.0,0,Caucasian,Male,25 - 45
173,1.0,1,African-American,Male,25 - 45
174,0.0,0,African-American,Male,25 - 45
175,0.0,1,Caucasian,Male,25 - 45
176,1.0,1,African-American,Male,25 - 45
177,0.0,1,African-American,Male,Less than 25
178,1.0,1,African-American,Male,25 - 45
180,1.0,0,African-American,Male,25 - 45
182,0.0,0,Other,Female,25 - 45
183,1.0,1,Caucasian,Male,25 - 45
184,1.0,1,African-American,Male,25 - 45
187,1.0,0,African-American,Male,Greater than 45
189,1.0,0,Caucasian,Male,Greater than 45
190,1.0,1,African-American,Male,25 - 45
192,0.0,0,Caucasian,Female,Greater than 45
193,1.0,1,Caucasian,Male,Less than 25
194,0.0,0,Caucasian,Male,25 - 45
195,0.0,0,Caucasian,Female,25 - 45
197,0.0,0,Caucasian,Male,25 - 45
199,0.0,0,Caucasian,Male,25 - 45
200,0.0,0,Other,Female,25 - 45
202,0.0,1,Caucasian,Male,25 - 45
203,0.0,0,African-American,Female,Less than 25
206,0.0,1,Caucasian,Female,25 - 45
208,0.0,1,Caucasian,Male,25 - 45
209,1.0,1,Hispanic,Female,25 - 45
210,1.0,1,African-American,Male,25 - 45
213,0.0,1,Caucasian,Male,25 - 45
215,0.0,0,African-American,Male,25 - 45
216,0.0,1,Caucasian,Male,Greater than 45
218,0.0,0,Caucasian,Female,Greater than 45
220,1.0,0,African-American,Female,Less than 25
222,0.0,0,Caucasian,Female,25 - 45
223,1.0,1,African-American,Male,25 - 45
224,1.0,1,African-American,Male,25 - 45
225,1.0,1,African-American,Male,25 - 45
227,0.0,1,African-American,Female,25 - 45
228,1.0,1,African-American,Female,25 - 45
229,1.0,1,African-American,Male,25 - 45
231,1.0,0,African-American,Female,Less than 25
232,1.0,0,Caucasian,Female,25 - 45
234,0.0,1,African-American,Female,Greater than 45
235,1.0,1,Other,Male,Greater than 45
236,0.0,0,Hispanic,Male,Greater than 45
238,1.0,1,African-American,Female,25 - 45
239,0.0,0,Hispanic,Male,25 - 45
240,0.0,0,Other,Female,Greater than 45
241,0.0,1,African-American,Female,25 - 45
242,0.0,0,African-American,Male,Greater than 45
243,0.0,0,Caucasian,Male,25 - 45
244,1.0,1,Caucasian,Female,25 - 45
245,1.0,0,African-American,Male,25 - 45
246,0.0,0,Caucasian,Male,Greater than 45
248,0.0,0,African-American,Male,Less than 25
249,0.0,1,Caucasian,Male,Greater than 45
251,1.0,0,Caucasian,Female,Greater than 45
252,1.0,0,Caucasian,Male,25 - 45
254,0.0,1,African-American,Male,25 - 45
257,0.0,0,Hispanic,Male,Less than 25
258,1.0,0,African-American,Female,25 - 45
259,0.0,0,Hispanic,Male,Greater than 45
260,0.0,0,African-American,Male,Greater than 45
262,1.0,0,Caucasian,Female,25 - 45
263,0.0,0,Caucasian,Male,Greater than 45
264,1.0,1,Hispanic,Male,25 - 45
265,1.0,1,African-American,Male,25 - 45
266,0.0,0,Hispanic,Male,Greater than 45
267,0.0,0,Hispanic,Male,Greater than 45
268,0.0,1,Caucasian,Male,Greater than 45
269,0.0,0,Caucasian,Male,Greater than 45
271,0.0,0,Other,Male,Less than 25
272,1.0,1,African-American,Male,25 - 45
275,1.0,1,African-American,Male,Less than 25
277,1.0,1,African-American,Male,Greater than 45
278,0.0,1,African-American,Male,Less than 25
279,0.0,0,Hispanic,Male,Greater than 45
280,1.0,1,Caucasian,Female,25 - 45
281,0.0,0,African-American,Male,Greater than 45
282,0.0,1,Caucasian,Male,Greater than 45
285,0.0,1,Other,Female,Greater than 45
286,1.0,1,African-American,Male,25 - 45
287,1.0,1,African-American,Male,25 - 45
288,0.0,1,Caucasian,Male,25 - 45
289,1.0,1,African-American,Male,25 - 45
291,0.0,0,Caucasian,Male,Greater than 45
293,0.0,1,African-American,Male,Less than 25
294,0.0,0,African-American,Male,25 - 45
297,0.0,0,African-American,Female,Less than 25
298,0.0,1,Other,Male,25 - 45
299,0.0,0,Caucasian,Male,Greater than 45
300,0.0,0,Caucasian,Female,25 - 45
301,0.0,0,Caucasian,Male,25 - 45
302,1.0,1,African-American,Female,25 - 45
304,1.0,1,Other,Male,Less than 25
306,1.0,1,African-American,Male,25 - 45
308,0.0,0,African-American,Male,25 - 45
310,1.0,0,African-American,Female,25 - 45
311,1.0,1,Caucasian,Male,25 - 45
313,1.0,1,Caucasian,Female,25 - 45
315,0.0,0,African-American,Male,25 - 45
316,0.0,0,Caucasian,Male,25 - 45
317,1.0,0,African-American,Female,25 - 45
319,0.0,1,Caucasian,Male,Greater than 45
320,1.0,0,African-American,Male,25 - 45
321,1.0,0,African-American,Male,25 - 45
322,1.0,0,African-American,Male,Greater than 45
323,0.0,0,Hispanic,Male,25 - 45
325,0.0,0,Caucasian,Male,Greater than 45
326,0.0,1,Caucasian,Female,Greater than 45
327,0.0,0,Caucasian,Male,Greater than 45
329,0.0,1,Other,Male,25 - 45
330,0.0,0,African-American,Male,Greater than 45
331,0.0,1,Caucasian,Male,25 - 45
332,1.0,0,African-American,Female,25 - 45
333,1.0,0,African-American,Female,25 - 45
334,1.0,1,African-American,Male,25 - 45
335,0.0,0,African-American,Male,25 - 45
336,0.0,1,Other,Male,25 - 45
337,1.0,0,African-American,Male,Greater than 45
338,1.0,0,African-American,Male,Less than 25
341,0.0,1,African-American,Female,25 - 45
344,0.0,0,African-American,Male,25 - 45
345,0.0,0,Caucasian,Male,Greater than 45
347,0.0,1,Caucasian,Male,25 - 45
348,0.0,0,African-American,Male,Greater than 45
349,0.0,0,Caucasian,Male,25 - 45
350,1.0,1,African-American,Male,25 - 45
351,1.0,0,Caucasian,Male,25 - 45
354,0.0,0,African-American,Male,Less than 25
355,0.0,0,African-American,Male,25 - 45
356,0.0,0,Hispanic,Male,25 - 45
357,1.0,1,Caucasian,Male,25 - 45
358,0.0,1,Caucasian,Male,25 - 45
359,1.0,0,African-American,Male,25 - 45
360,1.0,0,African-American,Male,25 - 45
361,0.0,0,Caucasian,Male,Greater than 45
362,1.0,1,African-American,Male,25 - 45
363,1.0,1,Caucasian,Male,25 - 45
364,0.0,0,African-American,Male,25 - 45
366,1.0,1,Caucasian,Male,Less than 25
369,0.0,0,Other,Female,25 - 45
372,0.0,0,Other,Female,25 - 45
374,1.0,1,Caucasian,Male,25 - 45
375,0.0,0,Caucasian,Male,25 - 45
376,1.0,1,African-American,Male,Less than 25
377,1.0,1,Caucasian,Female,Less than 25
378,0.0,1,African-American,Male,25 - 45
379,0.0,0,Hispanic,Female,25 - 45
381,1.0,1,Hispanic,Male,Less than 25
382,1.0,1,Caucasian,Female,Less than 25
383,1.0,0,Hispanic,Male,Less than 25
384,0.0,0,African-American,Male,25 - 45
385,1.0,1,African-American,Male,Less than 25
386,1.0,1,African-American,Male,25 - 45
389,0.0,0,Other,Male,25 - 45
390,0.0,0,African-American,Male,25 - 45
392,0.0,0,Caucasian,Male,25 - 45
393,0.0,0,African-American,Female,25 - 45
396,1.0,0,African-American,Male,Less than 25
398,1.0,0,Hispanic,Male,Less than 25
399,0.0,0,African-American,Female,Greater than 45
400,0.0,1,African-American,Female,Less than 25
402,0.0,0,African-American,Female,Greater than 45
403,1.0,1,African-American,Male,Greater than 45
404,1.0,0,Caucasian,Male,25 - 45
405,1.0,1,Caucasian,Male,25 - 45
406,1.0,1,African-American,Male,25 - 45
407,1.0,1,African-American,Male,Less than 25
408,0.0,0,Caucasian,Female,Less than 25
409,1.0,0,African-American,Male,25 - 45
410,0.0,0,Caucasian,Male,25 - 45
411,0.0,0,African-American,Female,25 - 45
414,0.0,0,Other,Female,25 - 45
415,1.0,0,African-American,Male,25 - 45
416,1.0,1,African-American,Male,Greater than 45
417,0.0,0,African-American,Male,25 - 45
423,0.0,0,Caucasian,Male,25 - 45
424,0.0,1,African-American,Male,25 - 45
425,0.0,0,Caucasian,Male,Greater than 45
426,0.0,1,Caucasian,Male,Greater than 45
428,0.0,0,Caucasian,Male,Greater than 45
429,1.0,1,African-American,Male,Less than 25
430,1.0,1,African-American,Male,25 - 45
431,0.0,1,Hispanic,Male,25 - 45
432,0.0,0,Caucasian,Male,25 - 45
434,1.0,1,African-American,Male,Less than 25
435,0.0,0,African-American,Male,25 - 45
437,1.0,1,Caucasian,Male,Less than 25
438,0.0,1,African-American,Male,25 - 45
439,0.0,0,African-American,Male,25 - 45
440,0.0,1,African-American,Male,25 - 45
441,0.0,0,Other,Male,Less than 25
442,0.0,1,Caucasian,Male,25 - 45
445,0.0,0,Caucasian,Male,Greater than 45
446,1.0,0,African-American,Female,Less than 25
450,1.0,0,African-American,Male,Less than 25
451,1.0,1,African-American,Male,Less than 25
452,0.0,0,Caucasian,Male,Greater than 45
454,1.0,1,African-American,Male,25 - 45
456,0.0,0,Caucasian,Male,25 - 45
457,0.0,1,Other,Male,25 - 45
459,0.0,0,African-American,Female,25 - 45
461,0.0,0,Hispanic,Male,Less than 25
462,0.0,0,African-American,Male,25 - 45
463,0.0,1,Caucasian,Male,25 - 45
464,0.0,1,Caucasian,Male,25 - 45
465,0.0,0,Caucasian,Female,25 - 45
467,1.0,1,Other,Male,Less than 25
468,0.0,0,African-American,Male,25 - 45
469,1.0,1,African-American,Male,Less than 25
474,0.0,0,Caucasian,Female,Greater than 45
475,0.0,0,Caucasian,Male,Greater than 45
478,1.0,0,African-American,Male,25 - 45
480,1.0,1,African-American,Male,Less than 25
481,0.0,0,Caucasian,Male,Greater than 45
484,1.0,0,Caucasian,Male,25 - 45
485,1.0,1,African-American,Male,Less than 25
487,1.0,1,Caucasian,Male,Greater than 45
489,0.0,1,Caucasian,Male,25 - 45
493,0.0,0,African-American,Male,Greater than 45
494,1.0,0,Hispanic,Male,Less than 25
495,1.0,0,African-American,Female,25 - 45
496,0.0,1,Caucasian,Female,25 - 45
497,0.0,0,Hispanic,Female,Less than 25
499,1.0,0,Caucasian,Male,25 - 45
500,1.0,1,African-American,Female,Less than 25
501,0.0,0,Caucasian,Male,25 - 45
502,0.0,0,African-American,Male,Less than 25
503,1.0,1,African-American,Male,25 - 45
504,0.0,1,Other,Male,25 - 45
505,0.0,0,African-American,Male,25 - 45
509,1.0,0,Caucasian,Female,25 - 45
510,0.0,0,Hispanic,Male,Greater than 45
511,0.0,0,Other,Male,25 - 45
512,1.0,0,African-American,Female,25 - 45
516,1.0,1,African-American,Male,25 - 45
517,1.0,0,African-American,Male,Less than 25
518,0.0,0,African-American,Male,Greater than 45
521,0.0,1,Hispanic,Female,25 - 45
522,0.0,0,Caucasian,Male,25 - 45
523,1.0,1,African-American,Male,Less than 25
524,1.0,0,Hispanic,Male,25 - 45
525,0.0,0,Other,Male,25 - 45
526,1.0,0,Caucasian,Female,Less than 25
527,0.0,0,Caucasian,Male,Greater than 45
530,1.0,0,Caucasian,Male,Less than 25
531,1.0,1,African-American,Male,25 - 45
532,0.0,0,Caucasian,Male,Less than 25
533,1.0,1,African-American,Female,Less than 25
537,1.0,0,African-American,Male,Greater than 45
538,0.0,0,African-American,Male,25 - 45
540,0.0,0,Caucasian,Female,Greater than 45
541,1.0,0,African-American,Female,25 - 45
542,1.0,1,African-American,Male,Less than 25
543,1.0,1,Hispanic,Male,25 - 45
545,0.0,0,Other,Female,Less than 25
546,0.0,0,Hispanic,Male,25 - 45
547,0.0,0,Caucasian,Male,25 - 45
548,0.0,0,African-American,Male,Less than 25
552,1.0,1,Caucasian,Male,Less than 25
553,1.0,0,African-American,Male,Greater than 45
557,1.0,1,African-American,Male,Less than 25
558,1.0,1,African-American,Male,Less than 25
561,0.0,0,Caucasian,Male,25 - 45
563,0.0,1,Caucasian,Female,Greater than 45
565,1.0,1,Caucasian,Male,25 - 45
566,1.0,1,African-American,Male,25 - 45
567,0.0,0,Caucasian,Female,Greater than 45
569,0.0,0,African-American,Female,Less than 25
572,0.0,0,African-American,Male,25 - 45
573,0.0,0,African-American,Male,25 - 45
574,0.0,0,Caucasian,Male,Less than 25
576,1.0,1,African-American,Male,25 - 45
579,1.0,1,African-American,Male,Less than 25
580,1.0,0,Caucasian,Male,Less than 25
581,1.0,1,African-American,Male,25 - 45
584,1.0,0,African-American,Male,25 - 45
586,0.0,0,African-American,Male,Greater than 45
587,0.0,0,African-American,Male,Greater than 45
588,0.0,0,African-American,Male,25 - 45
590,1.0,1,Caucasian,Male,Greater than 45
594,0.0,0,Caucasian,Female,Greater than 45
597,1.0,1,African-American,Male,25 - 45
598,1.0,0,African-American,Male,25 - 45
599,0.0,0,Caucasian,Male,25 - 45
600,0.0,0,Hispanic,Female,25 - 45
601,1.0,1,Caucasian,Male,Greater than 45
602,1.0,1,African-American,Male,25 - 45
603,1.0,0,African-American,Male,25 - 45
604,1.0,1,African-American,Male,Less than 25
605,1.0,0,African-American,Male,25 - 45
608,0.0,0,Caucasian,Male,25 - 45
609,0.0,0,Caucasian,Male,Greater than 45
611,0.0,0,African-American,Male,Greater than 45
612,1.0,1,African-American,Male,25 - 45
613,0.0,1,Caucasian,Male,Greater than 45
616,0.0,0,African-American,Male,25 - 45
617,0.0,0,Other,Male,Greater than 45
621,0.0,0,Hispanic,Male,Less than 25
622,1.0,0,Caucasian,Female,25 - 45
623,0.0,0,Caucasian,Male,Greater than 45
624,1.0,0,African-American,Female,Less than 25
625,0.0,1,African-American,Female,25 - 45
627,1.0,0,African-American,Male,Greater than 45
628,0.0,1,Caucasian,Male,25 - 45
629,0.0,0,Hispanic,Male,Less than 25
630,0.0,0,Caucasian,Male,Less than 25
633,0.0,0,Caucasian,Female,Greater than 45
635,0.0,1,African-American,Male,25 - 45
637,1.0,1,Caucasian,Male,Less than 25
638,1.0,1,African-American,Male,25 - 45
639,0.0,0,Other,Male,25 - 45
640,1.0,1,African-American,Male,Less than 25
641,1.0,1,Caucasian,Male,25 - 45
643,1.0,0,African-American,Male,25 - 45
644,1.0,1,African-American,Male,Greater than 45
645,1.0,0,African-American,Male,Less than 25
646,0.0,1,Hispanic,Male,Greater than 45
647,0.0,0,Caucasian,Male,25 - 45
648,1.0,1,African-American,Male,Greater than 45
649,0.0,0,Caucasian,Male,25 - 45
651,0.0,0,African-American,Male,25 - 45
653,1.0,1,Caucasian,Male,Less than 25
654,0.0,0,Caucasian,Male,25 - 45
656,1.0,0,African-American,Male,25 - 45
657,1.0,1,African-American,Female,Less than 25
659,1.0,1,Caucasian,Male,Less than 25
660,0.0,0,Caucasian,Male,25 - 45
662,1.0,0,Caucasian,Female,Less than 25
664,0.0,0,Caucasian,Male,25 - 45
668,1.0,1,Hispanic,Male,25 - 45
669,1.0,1,African-American,Male,Less than 25
673,1.0,1,Hispanic,Male,25 - 45
674,0.0,1,African-American,Male,Less than 25
675,0.0,0,Caucasian,Male,Greater than 45
678,0.0,0,African-American,Female,Greater than 45
679,0.0,0,African-American,Male,25 - 45
680,0.0,0,African-American,Male,25 - 45
681,0.0,0,Caucasian,Male,Less than 25
684,0.0,0,African-American,Male,Greater than 45
685,1.0,1,African-American,Female,Greater than 45
686,0.0,1,Caucasian,Male,25 - 45
687,1.0,1,Other,Male,Less than 25
688,1.0,1,African-American,Male,25 - 45
689,1.0,0,African-American,Female,Greater than 45
691,1.0,1,African-American,Male,25 - 45
692,1.0,1,African-American,Male,25 - 45
693,1.0,1,Caucasian,Male,Greater than 45
694,0.0,1,Caucasian,Male,25 - 45
696,1.0,1,Native American,Female,25 - 45
697,0.0,1,African-American,Male,Greater than 45
700,1.0,1,African-American,Male,25 - 45
701,1.0,0,African-American,Male,25 - 45
703,0.0,0,Caucasian,Male,Greater than 45
704,0.0,0,African-American,Male,25 - 45
707,1.0,0,African-American,Male,Less than 25
708,1.0,1,African-American,Male,Greater than 45
709,1.0,1,African-American,Male,25 - 45
711,1.0,1,African-American,Female,Less than 25
712,0.0,0,African-American,Male,Greater than 45
713,1.0,1,African-American,Male,Greater than 45
715,1.0,1,Caucasian,Male,Less than 25
716,0.0,0,African-American,Male,25 - 45
718,1.0,1,African-American,Male,Less than 25
720,0.0,0,Caucasian,Male,Greater than 45
721,1.0,0,Hispanic,Male,Less than 25
722,0.0,0,Caucasian,Male,25 - 45
724,0.0,0,Caucasian,Male,Greater than 45
726,1.0,1,Caucasian,Male,25 - 45
727,0.0,0,Caucasian,Male,Greater than 45
728,0.0,1,Hispanic,Male,25 - 45
729,0.0,1,Caucasian,Male,Greater than 45
730,1.0,0,Asian,Male,25 - 45
731,0.0,0,Hispanic,Male,Greater than 45
732,0.0,0,Hispanic,Male,25 - 45
737,1.0,1,Caucasian,Female,Less than 25
738,1.0,1,Caucasian,Male,Less than 25
739,1.0,0,African-American,Male,25 - 45
740,1.0,1,Asian,Male,Greater than 45
743,0.0,0,African-American,Male,25 - 45
745,0.0,0,Caucasian,Female,25 - 45
750,1.0,1,Caucasian,Male,25 - 45
752,0.0,1,Caucasian,Male,25 - 45
753,0.0,0,African-American,Male,Greater than 45
754,0.0,1,African-American,Male,25 - 45
756,0.0,0,Caucasian,Female,Greater than 45
757,1.0,0,African-American,Male,25 - 45
758,1.0,1,Hispanic,Female,Less than 25
760,1.0,1,African-American,Male,25 - 45
762,0.0,1,Caucasian,Male,25 - 45
763,1.0,1,Hispanic,Male,25 - 45
764,0.0,0,Hispanic,Male,Greater than 45
765,1.0,1,African-American,Male,Greater than 45
769,1.0,0,Caucasian,Male,25 - 45
770,0.0,0,Caucasian,Male,Greater than 45
771,0.0,0,Caucasian,Male,25 - 45
774,1.0,0,African-American,Male,25 - 45
775,0.0,0,Caucasian,Male,Greater than 45
779,0.0,0,African-American,Female,25 - 45
781,1.0,0,Other,Male,Greater than 45
785,0.0,0,African-American,Female,25 - 45
786,0.0,0,Caucasian,Female,Greater than 45
787,0.0,0,Hispanic,Male,25 - 45
788,0.0,0,Other,Male,25 - 45
789,0.0,0,African-American,Male,25 - 45
790,0.0,0,African-American,Female,25 - 45
792,0.0,0,Other,Male,25 - 45
793,1.0,1,African-American,Male,Greater than 45
794,1.0,1,African-American,Male,25 - 45
796,0.0,0,Caucasian,Male,Less than 25
798,1.0,1,Caucasian,Male,Greater than 45
800,1.0,1,African-American,Male,Greater than 45
803,1.0,0,African-American,Male,Greater than 45
804,0.0,1,African-American,Male,Less than 25
805,0.0,1,Caucasian,Male,25 - 45
806,0.0,0,Caucasian,Male,Less than 25
807,1.0,0,Caucasian,Male,Less than 25
808,0.0,0,Caucasian,Male,25 - 45
810,0.0,1,African-American,Male,25 - 45
812,0.0,0,African-American,Male,25 - 45
813,0.0,1,African-American,Male,25 - 45
814,0.0,1,Caucasian,Male,25 - 45
815,0.0,1,Caucasian,Male,Less than 25
817,0.0,0,Other,Male,25 - 45
818,0.0,0,Caucasian,Male,25 - 45
820,1.0,0,Hispanic,Male,25 - 45
821,1.0,0,African-American,Male,25 - 45
823,1.0,1,African-American,Male,25 - 45
825,1.0,1,Caucasian,Male,Less than 25
829,1.0,1,Caucasian,Male,Less than 25
830,1.0,1,Hispanic,Male,Less than 25
831,0.0,0,Caucasian,Male,Greater than 45
835,1.0,1,African-American,Male,25 - 45
836,0.0,1,Hispanic,Male,25 - 45
837,1.0,1,Caucasian,Male,Greater than 45
838,0.0,0,African-American,Male,25 - 45
840,1.0,0,African-American,Male,25 - 45
841,0.0,0,Caucasian,Male,Less than 25
842,0.0,0,Hispanic,Female,Greater than 45
843,1.0,0,African-American,Male,25 - 45
844,1.0,0,African-American,Male,Greater than 45
847,1.0,0,African-American,Male,25 - 45
848,0.0,0,Other,Female,Greater than 45
849,0.0,1,African-American,Male,25 - 45
850,1.0,1,African-American,Male,Less than 25
851,0.0,0,Caucasian,Male,Greater than 45
852,1.0,1,African-American,Male,Less than 25
853,0.0,0,African-American,Male,Greater than 45
855,0.0,0,African-American,Male,25 - 45
856,1.0,0,Caucasian,Male,25 - 45
857,1.0,1,African-American,Male,25 - 45
858,0.0,0,African-American,Female,25 - 45
859,1.0,0,African-American,Male,Less than 25
861,0.0,1,Caucasian,Male,25 - 45
863,0.0,0,Caucasian,Male,25 - 45
864,1.0,0,Hispanic,Male,Less than 25
867,0.0,1,African-American,Male,25 - 45
869,0.0,0,Caucasian,Male,25 - 45
870,0.0,1,African-American,Female,25 - 45
871,0.0,0,Caucasian,Male,25 - 45
872,1.0,0,African-American,Male,25 - 45
874,1.0,0,Hispanic,Male,25 - 45
875,0.0,0,African-American,Female,25 - 45
879,0.0,0,Caucasian,Male,Less than 25
880,0.0,0,Hispanic,Male,Greater than 45
881,0.0,1,Caucasian,Female,Greater than 45
882,0.0,1,Caucasian,Male,Greater than 45
883,1.0,1,Caucasian,Male,25 - 45
884,0.0,1,Caucasian,Male,Greater than 45
886,0.0,0,Caucasian,Female,Greater than 45
887,1.0,1,African-American,Male,25 - 45
888,0.0,0,Caucasian,Female,Less than 25
889,0.0,0,Caucasian,Male,Less than 25
890,1.0,1,Other,Male,25 - 45
891,1.0,1,African-American,Male,Less than 25
893,0.0,0,Hispanic,Male,25 - 45
895,0.0,0,Other,Male,25 - 45
897,1.0,1,African-American,Male,Less than 25
898,1.0,0,African-American,Male,25 - 45
899,0.0,0,African-American,Male,25 - 45
900,1.0,0,Caucasian,Female,Less than 25
901,0.0,0,African-American,Male,25 - 45
904,0.0,1,Hispanic,Male,Less than 25
905,0.0,0,Hispanic,Male,25 - 45
906,1.0,0,Caucasian,Female,Less than 25
909,0.0,0,African-American,Male,Less than 25
913,1.0,1,African-American,Male,25 - 45
914,1.0,1,African-American,Male,25 - 45
915,1.0,1,African-American,Male,Greater than 45
916,0.0,0,African-American,Male,25 - 45
917,1.0,1,African-American,Male,Less than 25
918,0.0,0,African-American,Female,25 - 45
919,1.0,1,Hispanic,Male,25 - 45
921,1.0,0,African-American,Male,25 - 45
922,1.0,1,Caucasian,Male,25 - 45
923,0.0,0,African-American,Male,25 - 45
924,0.0,0,Caucasian,Female,Greater than 45
925,0.0,0,Caucasian,Male,25 - 45
926,1.0,1,African-American,Male,25 - 45
927,0.0,0,Caucasian,Male,25 - 45
930,1.0,1,African-American,Male,Less than 25
932,0.0,0,Hispanic,Male,25 - 45
934,1.0,1,African-American,Male,25 - 45
935,0.0,0,Caucasian,Male,Greater than 45
937,1.0,1,Hispanic,Male,25 - 45
943,0.0,1,Caucasian,Male,25 - 45
944,0.0,0,African-American,Male,25 - 45
945,1.0,0,African-American,Male,25 - 45
946,0.0,1,African-American,Male,Greater than 45
947,1.0,0,Caucasian,Female,Less than 25
948,1.0,0,African-American,Female,Less than 25
949,1.0,1,Caucasian,Female,Less than 25
951,0.0,0,African-American,Male,25 - 45
953,0.0,0,African-American,Male,25 - 45
955,1.0,1,African-American,Male,Greater than 45
956,1.0,1,African-American,Male,Less than 25
958,0.0,0,Hispanic,Male,25 - 45
959,1.0,1,African-American,Male,Less than 25
960,1.0,1,Caucasian,Male,25 - 45
962,1.0,0,Caucasian,Male,25 - 45
963,1.0,0,Caucasian,Male,25 - 45
