entity_id,label_value,score,education,gender,race
213,0,1.0,HS-grad,Male,Asian-Pac-Islander
31615,0,0.0,Bachelors,Male,White
4887,0,1.0,Assoc-acdm,Female,Black
7572,1,0.0,HS-grad,Male,White
2907,0,1.0,HS-grad,Female,White
249,0,0.0,HS-grad,Male,White
10508,1,0.0,HS-grad,Male,White
30756,0,1.0,HS-grad,Male,White
11494,1,1.0,Bachelors,Male,White
10348,0,1.0,Bachelors,Male,White
2622,0,1.0,HS-grad,Male,Amer-Indian-Eskimo
24738,1,0.0,Masters,Male,White
28675,1,0.0,Bachelors,Female,White
28162,0,1.0,HS-grad,Male,White
4859,0,1.0,HS-grad,Male,White
20855,0,1.0,Some-college,Male,White
13456,0,1.0,7th-8th,Male,White
29085,0,1.0,Some-college,Male,White
14453,0,1.0,Some-college,Male,White
7788,0,1.0,11th,Male,White
25314,0,1.0,Some-college,Male,White
23831,0,1.0,Bachelors,Female,White
8617,1,1.0,Prof-school,Female,White
2163,0,0.0,Bachelors,Male,White
14975,0,1.0,Some-college,Male,Black
5460,0,1.0,HS-grad,Female,White
22020,0,1.0,Bachelors,Male,White
10832,0,1.0,HS-grad,Male,White
4095,0,0.0,HS-grad,Male,White
7185,0,1.0,Masters,Female,White
30359,0,1.0,HS-grad,Male,White
17441,0,1.0,HS-grad,Male,White
23807,0,1.0,HS-grad,Female,White
21784,0,1.0,HS-grad,Male,White
24743,0,1.0,Some-college,Male,White
9646,0,0.0,7th-8th,Female,White
17015,0,1.0,Bachelors,Female,White
18019,0,1.0,11th,Male,White
3215,0,1.0,Some-college,Male,White
23270,0,1.0,HS-grad,Male,White
18718,1,0.0,Some-college,Male,White
25240,0,1.0,HS-grad,Male,White
17321,0,1.0,10th,Male,White
17292,0,1.0,HS-grad,Male,White
15107,0,1.0,Bachelors,Male,White
24671,0,1.0,Doctorate,Male,White
264,0,1.0,11th,Male,White
23427,0,1.0,HS-grad,Female,White
30963,0,1.0,Some-college,Female,Black
21659,0,1.0,Assoc-voc,Male,White
11528,0,1.0,HS-grad,Female,White
18865,0,1.0,Some-college,Male,White
4975,0,1.0,HS-grad,Male,White
31188,1,0.0,Bachelors,Male,White
4702,0,1.0,HS-grad,Female,White
16832,1,0.0,Bachelors,Male,White
2749,0,1.0,9th,Female,White
31164,1,0.0,Some-college,Male,White
22305,0,1.0,Some-college,Female,White
3792,0,0.0,Assoc-acdm,Male,White
19461,0,1.0,HS-grad,Female,White
28595,0,1.0,HS-grad,Male,White
4138,0,1.0,Some-college,Female,White
31741,0,1.0,Assoc-acdm,Male,Asian-Pac-Islander
1262,0,1.0,Assoc-voc,Female,White
10472,0,1.0,Some-college,Male,White
21763,0,1.0,Bachelors,Male,White
18382,0,1.0,HS-grad,Male,White
12514,0,1.0,Some-college,Female,White
16560,0,1.0,HS-grad,Female,Black
23945,0,1.0,Some-college,Female,White
5060,0,1.0,Some-college,Male,White
25728,0,1.0,10th,Female,White
3906,0,1.0,Bachelors,Male,Black
5245,0,0.0,Bachelors,Male,White
6156,0,1.0,Some-college,Male,White
394,0,1.0,HS-grad,Female,White
22061,0,1.0,Assoc-acdm,Female,Black
10484,0,1.0,11th,Female,White
28577,0,0.0,Masters,Male,White
17476,0,0.0,HS-grad,Male,White
5454,0,1.0,Assoc-voc,Female,White
30749,1,0.0,Assoc-acdm,Male,White
13389,0,1.0,Some-college,Male,White
6252,0,1.0,Some-college,Male,White
32057,0,0.0,Bachelors,Male,White
1503,1,0.0,Bachelors,Male,White
8894,0,1.0,Masters,Female,White
19510,0,0.0,Some-college,Male,White
23131,1,1.0,Bachelors,Male,White
1507,0,1.0,HS-grad,Male,White
14445,0,1.0,Bachelors,Male,White
16510,0,1.0,HS-grad,Male,White
3946,0,1.0,HS-grad,Male,White
13860,0,1.0,Assoc-acdm,Male,White
15845,0,1.0,HS-grad,Female,White
6441,0,1.0,Bachelors,Male,White
6206,0,1.0,Some-college,Male,White
11327,1,1.0,Masters,Male,White
11369,0,1.0,10th,Male,Black
20641,1,0.0,Bachelors,Male,White
3351,0,1.0,Some-college,Female,White
28728,1,0.0,Some-college,Male,Black
673,1,0.0,Bachelors,Male,White
4383,0,1.0,Some-college,Female,White
8576,0,1.0,Prof-school,Female,White
5022,0,1.0,HS-grad,Male,Amer-Indian-Eskimo
8904,0,1.0,Some-college,Female,White
6055,0,1.0,HS-grad,Male,White
27615,0,1.0,11th,Female,White
13649,0,1.0,Some-college,Male,White
1254,0,1.0,Some-college,Male,White
27808,0,1.0,Some-college,Female,Asian-Pac-Islander
14979,0,1.0,HS-grad,Female,White
27917,0,1.0,HS-grad,Female,White
2883,1,0.0,Masters,Female,White
4788,0,0.0,Masters,Male,White
4858,1,0.0,Some-college,Male,White
18321,1,1.0,11th,Male,White
5997,1,1.0,HS-grad,Male,White
7145,0,1.0,HS-grad,Male,White
17075,0,1.0,10th,Female,White
5178,0,1.0,HS-grad,Female,Black
31653,1,1.0,Bachelors,Male,White
16555,0,1.0,7th-8th,Male,White
518,0,1.0,Some-college,Female,White
29313,1,0.0,Bachelors,Male,White
14216,0,1.0,Bachelors,Male,White
697,1,0.0,Masters,Male,White
26680,0,1.0,Some-college,Female,White
25740,0,1.0,HS-grad,Female,White
16500,1,0.0,Doctorate,Male,White
19530,0,0.0,Bachelors,Male,White
11843,0,1.0,HS-grad,Male,White
23341,1,1.0,HS-grad,Male,White
29872,1,0.0,HS-grad,Male,White
18948,1,0.0,HS-grad,Male,White
2330,1,0.0,Some-college,Female,Asian-Pac-Islander
1546,0,1.0,10th,Male,White
19140,1,0.0,11th,Male,White
24398,0,1.0,11th,Male,White
26075,0,1.0,HS-grad,Male,White
7950,0,1.0,Some-college,Male,White
13947,1,0.0,Bachelors,Male,White
32485,0,1.0,HS-grad,Female,White
26466,0,0.0,Assoc-voc,Male,White
2685,0,1.0,Some-college,Female,Black
1798,1,0.0,HS-grad,Male,White
2072,0,1.0,HS-grad,Male,White
13914,1,1.0,Some-college,Male,White
8648,0,1.0,Some-college,Female,White
1761,0,1.0,HS-grad,Male,White
7837,1,0.0,Some-college,Male,White
21,0,1.0,HS-grad,Female,Black
30196,0,1.0,Some-college,Female,White
28061,0,0.0,Some-college,Male,White
13618,0,1.0,Assoc-voc,Male,Black
17145,0,1.0,HS-grad,Female,White
4086,0,1.0,10th,Male,White
19805,1,0.0,Some-college,Male,White
5499,0,1.0,HS-grad,Male,White
23508,0,1.0,Bachelors,Male,Asian-Pac-Islander
7859,0,1.0,Some-college,Male,White
14417,0,1.0,Bachelors,Male,White
20016,0,1.0,Some-college,Female,White
30453,0,1.0,Some-college,Male,White
23811,0,1.0,Some-college,Female,Black
18130,0,1.0,HS-grad,Female,White
23696,0,1.0,HS-grad,Male,White
16883,0,1.0,HS-grad,Female,White
20096,1,1.0,Assoc-acdm,Male,White
31322,1,0.0,Assoc-voc,Male,White
7327,1,0.0,Doctorate,Male,White
24681,0,1.0,11th,Male,White
24416,0,1.0,HS-grad,Male,Black
4196,0,1.0,9th,Male,White
24061,0,1.0,HS-grad,Female,Black
7548,0,1.0,HS-grad,Male,White
15358,0,1.0,HS-grad,Female,Black
27534,0,1.0,HS-grad,Male,White
6317,0,1.0,Bachelors,Female,White
19998,1,0.0,Some-college,Male,White
16166,0,0.0,HS-grad,Male,White
25409,0,1.0,HS-grad,Male,White
10001,0,1.0,Bachelors,Female,White
12090,0,1.0,Assoc-voc,Male,White
13821,0,1.0,10th,Male,Asian-Pac-Islander
28042,0,1.0,Assoc-acdm,Female,White
31169,0,1.0,Bachelors,Male,White
10963,0,1.0,Some-college,Male,White
3879,1,1.0,5th-6th,Female,Asian-Pac-Islander
18982,0,0.0,Prof-school,Male,White
8306,0,1.0,Some-college,Female,White
24631,1,0.0,Doctorate,Male,White
11897,1,1.0,Some-college,Male,White
27300,1,0.0,Assoc-acdm,Male,White
21534,0,1.0,12th,Male,Black
13952,0,1.0,11th,Female,White
30753,1,0.0,Some-college,Male,White
5352,0,1.0,HS-grad,Male,White
18434,0,1.0,HS-grad,Female,White
15992,0,1.0,HS-grad,Male,Other
31096,1,0.0,Masters,Male,White
22328,1,1.0,HS-grad,Female,White
28194,0,1.0,Bachelors,Male,White
18097,0,1.0,HS-grad,Male,White
9629,1,0.0,Masters,Male,White
29859,0,0.0,Masters,Male,White
29546,0,1.0,Some-college,Female,White
15680,0,1.0,Some-college,Male,White
11325,1,0.0,HS-grad,Male,White
4560,0,1.0,Some-college,Male,White
18951,0,1.0,HS-grad,Male,White
30035,0,1.0,HS-grad,Female,Black
7864,0,1.0,HS-grad,Male,White
1695,1,0.0,HS-grad,Male,Black
11946,0,1.0,11th,Female,Asian-Pac-Islander
9740,0,1.0,10th,Male,White
19890,0,1.0,Assoc-voc,Male,White
19580,0,1.0,HS-grad,Female,Amer-Indian-Eskimo
4183,0,1.0,HS-grad,Male,White
26483,0,1.0,Some-college,Female,White
10250,0,1.0,Assoc-voc,Male,Black
29375,0,1.0,Some-college,Male,White
27140,1,0.0,Doctorate,Male,White
2282,1,1.0,HS-grad,Male,White
2868,0,1.0,Bachelors,Male,White
15664,1,0.0,Prof-school,Male,White
31044,0,1.0,5th-6th,Male,White
15364,0,1.0,Assoc-voc,Male,White
6253,0,1.0,HS-grad,Male,White
18144,0,1.0,HS-grad,Male,White
19311,0,1.0,Some-college,Male,White
24390,0,1.0,Some-college,Female,White
20881,0,1.0,HS-grad,Male,White
12299,1,1.0,HS-grad,Male,White
11289,0,1.0,Bachelors,Male,White
27094,0,1.0,Assoc-voc,Male,White
15790,0,1.0,Masters,Male,Black
10640,0,1.0,HS-grad,Male,White
10593,0,1.0,Bachelors,Female,Black
12496,0,1.0,HS-grad,Female,White
31477,0,1.0,HS-grad,Female,White
21387,0,0.0,Bachelors,Male,White
23190,1,0.0,Masters,Male,White
32437,0,1.0,HS-grad,Male,White
2196,1,0.0,Some-college,Male,White
14604,0,1.0,Some-college,Female,White
30174,1,1.0,Bachelors,Male,White
17877,0,1.0,9th,Male,Asian-Pac-Islander
13376,0,1.0,Masters,Female,White
16889,0,1.0,Assoc-acdm,Male,White
24509,0,0.0,HS-grad,Male,White
9389,0,1.0,HS-grad,Male,White
7385,1,0.0,Bachelors,Male,White
12243,0,1.0,HS-grad,Female,White
16969,0,1.0,Assoc-acdm,Male,White
3424,0,1.0,5th-6th,Male,White
10562,0,0.0,HS-grad,Male,Black
2417,0,1.0,Some-college,Female,White
3790,0,1.0,Bachelors,Male,White
13909,0,1.0,HS-grad,Male,White
101,1,0.0,Bachelors,Male,White
19093,0,1.0,Some-college,Male,White
20148,0,0.0,Bachelors,Male,White
21709,0,1.0,Bachelors,Male,White
12736,0,1.0,Assoc-voc,Female,White
5789,0,1.0,7th-8th,Female,White
1243,1,0.0,HS-grad,Male,White
2639,0,1.0,5th-6th,Female,White
12862,0,0.0,Bachelors,Male,White
8385,0,1.0,HS-grad,Female,Black
1387,1,1.0,Some-college,Male,White
8371,0,1.0,Some-college,Female,White
2361,1,0.0,Prof-school,Male,White
32448,0,1.0,7th-8th,Male,White
1407,1,0.0,Assoc-acdm,Female,White
19188,0,1.0,11th,Male,White
28181,0,0.0,HS-grad,Male,White
26900,0,1.0,HS-grad,Male,Black
22759,0,1.0,HS-grad,Male,White
7519,0,1.0,HS-grad,Female,Amer-Indian-Eskimo
27164,0,0.0,7th-8th,Male,White
6840,0,1.0,HS-grad,Male,White
12160,0,1.0,Some-college,Female,White
22207,0,1.0,Some-college,Male,White
9115,0,1.0,Bachelors,Male,White
10309,1,1.0,Assoc-voc,Male,White
8049,0,1.0,HS-grad,Female,White
31388,1,0.0,Bachelors,Male,White
12652,0,1.0,11th,Female,Black
30457,0,1.0,Bachelors,Male,White
19894,0,1.0,Some-college,Male,White
5813,1,0.0,Assoc-voc,Male,White
19103,0,1.0,Assoc-acdm,Male,White
12298,0,1.0,HS-grad,Male,White
30886,0,1.0,HS-grad,Male,White
7165,0,1.0,Some-college,Female,White
29482,0,1.0,Assoc-voc,Female,Black
11918,1,1.0,HS-grad,Male,White
11496,0,1.0,Some-college,Male,Black
15154,0,1.0,HS-grad,Female,White
7329,0,1.0,HS-grad,Female,White
16334,0,0.0,Doctorate,Male,White
26896,0,0.0,HS-grad,Male,White
29489,0,1.0,Assoc-acdm,Male,White
25491,1,0.0,Masters,Male,White
251,0,0.0,Bachelors,Female,Black
10894,0,1.0,HS-grad,Female,White
25015,0,1.0,Some-college,Female,Black
16593,1,0.0,HS-grad,Male,White
30531,0,1.0,7th-8th,Female,White
10373,0,1.0,Some-college,Male,White
27244,0,1.0,Masters,Male,Asian-Pac-Islander
21652,1,1.0,HS-grad,Female,White
15792,0,1.0,Bachelors,Male,White
22218,0,1.0,HS-grad,Female,White
21245,1,0.0,Bachelors,Male,White
1645,1,0.0,HS-grad,Female,White
12404,0,1.0,HS-grad,Male,Asian-Pac-Islander
32458,1,0.0,Bachelors,Male,White
24820,0,1.0,Some-college,Female,White
6328,0,1.0,Some-college,Male,White
10176,0,1.0,12th,Female,Black
4134,0,1.0,HS-grad,Female,White
18106,1,1.0,Assoc-acdm,Male,White
15171,0,1.0,5th-6th,Female,White
27097,0,1.0,Assoc-voc,Female,Black
24495,0,1.0,HS-grad,Male,White
22275,1,0.0,HS-grad,Male,White
28433,1,0.0,Masters,Male,Asian-Pac-Islander
24068,0,1.0,Some-college,Male,White
28483,0,1.0,5th-6th,Male,White
27106,0,1.0,HS-grad,Male,White
16346,0,1.0,7th-8th,Female,White
5670,0,1.0,Bachelors,Male,White
5392,0,1.0,Bachelors,Female,White
18485,0,1.0,Some-college,Male,White
10980,1,0.0,HS-grad,Male,White
7986,0,1.0,Some-college,Male,White
23264,0,1.0,Some-college,Male,White
6091,0,0.0,HS-grad,Male,White
13717,0,1.0,HS-grad,Male,White
21113,0,1.0,7th-8th,Male,White
23501,1,1.0,Assoc-voc,Male,White
2039,1,1.0,Some-college,Male,White
4446,0,1.0,HS-grad,Female,Black
9327,0,1.0,Assoc-voc,Male,White
27190,0,1.0,Bachelors,Female,White
2521,0,1.0,Masters,Female,White
24386,1,0.0,Some-college,Male,White
23858,0,1.0,HS-grad,Male,White
6892,0,1.0,Some-college,Male,Black
27077,1,0.0,9th,Female,White
21984,0,1.0,HS-grad,Male,White
2060,0,1.0,HS-grad,Female,Asian-Pac-Islander
14553,0,1.0,11th,Female,Black
8600,0,1.0,Some-college,Male,White
10061,1,0.0,Assoc-acdm,Male,White
8251,1,0.0,Masters,Female,Black
3618,0,1.0,HS-grad,Male,White
16537,0,1.0,HS-grad,Female,White
6026,0,1.0,HS-grad,Male,White
28372,0,1.0,Bachelors,Male,White
25432,0,0.0,Bachelors,Male,White
22727,0,1.0,Bachelors,Female,White
22038,0,1.0,Bachelors,Male,White
27673,0,1.0,Assoc-voc,Female,White
18856,0,1.0,11th,Male,White
3647,0,1.0,Bachelors,Female,Asian-Pac-Islander
21216,1,0.0,Bachelors,Male,White
22587,0,1.0,HS-grad,Male,Black
21410,0,1.0,10th,Male,Amer-Indian-Eskimo
28241,0,1.0,Some-college,Female,White
19064,0,1.0,7th-8th,Female,White
15002,0,0.0,Assoc-voc,Male,White
6881,0,1.0,Some-college,Male,White
3764,0,1.0,Some-college,Male,White
13133,0,1.0,HS-grad,Female,White
24948,0,1.0,HS-grad,Female,White
29025,0,1.0,9th,Male,White
26544,0,1.0,Bachelors,Female,White
22368,0,1.0,Bachelors,Female,White
14815,1,1.0,Prof-school,Male,White
25764,1,0.0,Some-college,Male,White
17659,0,1.0,HS-grad,Male,White
12478,0,1.0,HS-grad,Male,White
20323,0,1.0,Assoc-acdm,Male,White
20288,1,0.0,Bachelors,Female,White
11884,1,1.0,HS-grad,Male,White
32009,0,1.0,Masters,Male,White
650,0,1.0,Some-college,Male,White
23699,0,1.0,HS-grad,Female,Black
22761,1,1.0,Bachelors,Male,White
30401,1,0.0,Masters,Female,White
11057,0,1.0,Some-college,Male,White
10415,1,1.0,HS-grad,Female,White
11242,0,0.0,Some-college,Male,White
998,0,1.0,Some-college,Male,White
2452,0,1.0,10th,Male,Other
4994,0,0.0,Bachelors,Male,White
27541,0,1.0,HS-grad,Male,White
3083,0,1.0,HS-grad,Male,White
26040,0,1.0,HS-grad,Male,White
6248,0,0.0,HS-grad,Male,White
9686,1,0.0,Some-college,Male,White
6640,0,1.0,Some-college,Female,White
12504,1,1.0,Some-college,Male,White
12113,1,0.0,HS-grad,Male,White
10443,0,1.0,10th,Female,White
30551,0,1.0,HS-grad,Male,Other
15211,1,1.0,Assoc-voc,Male,White
13604,0,1.0,HS-grad,Male,White
28129,0,0.0,Bachelors,Male,White
2487,0,1.0,HS-grad,Female,White
17083,0,1.0,Assoc-voc,Female,White
8835,0,1.0,Some-college,Female,Black
24115,0,1.0,11th,Male,White
21536,0,1.0,Bachelors,Female,White
29152,0,1.0,Some-college,Male,White
24737,0,1.0,HS-grad,Male,White
4300,0,1.0,Some-college,Female,White
10933,0,1.0,Assoc-voc,Male,White
25413,0,1.0,Assoc-voc,Male,White
6856,0,1.0,11th,Male,White
21211,0,1.0,Some-college,Female,White
7003,0,1.0,Some-college,Male,White
18727,0,1.0,Bachelors,Male,White
30472,0,1.0,HS-grad,Male,White
13866,0,1.0,HS-grad,Male,White
23463,0,1.0,Some-college,Female,White
14148,1,0.0,Bachelors,Male,White
8403,0,1.0,Some-college,Female,White
23407,0,1.0,HS-grad,Male,White
30184,0,1.0,Some-college,Female,White
15668,1,0.0,Masters,Male,White
13410,1,0.0,Assoc-voc,Female,White
16202,0,1.0,Some-college,Male,White
16981,0,1.0,9th,Female,White
1611,1,1.0,Assoc-acdm,Female,White
12430,0,1.0,Bachelors,Male,White
11217,0,1.0,Assoc-acdm,Male,White
4418,0,1.0,Some-college,Female,White
11334,1,0.0,Masters,Male,White
26637,1,0.0,HS-grad,Female,White
14844,0,1.0,Some-college,Female,White
5300,0,1.0,HS-grad,Male,White
10842,1,1.0,Assoc-voc,Male,White
22535,0,1.0,11th,Male,White
5001,0,1.0,Bachelors,Female,White
8245,0,1.0,Some-college,Male,White
19576,1,0.0,1st-4th,Male,White
13565,0,0.0,Bachelors,Male,White
21363,0,1.0,Assoc-acdm,Male,White
25315,1,1.0,Prof-school,Male,White
28709,0,1.0,Some-college,Female,White
17215,0,1.0,HS-grad,Female,White
31305,0,1.0,HS-grad,Female,White
25036,0,1.0,HS-grad,Female,White
16710,0,1.0,11th,Male,Black
17868,1,1.0,HS-grad,Male,White
23942,1,1.0,Assoc-voc,Male,White
12943,0,0.0,Some-college,Male,White
13632,0,1.0,HS-grad,Male,White
5856,0,1.0,Some-college,Male,White
29605,0,1.0,Assoc-acdm,Male,White
26851,0,1.0,Bachelors,Male,White
22916,0,1.0,HS-grad,Male,White
20094,0,1.0,10th,Male,Black
15095,1,0.0,HS-grad,Male,White
20827,0,1.0,11th,Female,Black
31346,1,0.0,Some-college,Male,White
31991,0,1.0,Some-college,Male,White
1727,0,1.0,HS-grad,Male,White
8383,0,1.0,Assoc-acdm,Female,White
32535,0,1.0,12th,Male,Black
25297,0,1.0,11th,Female,White
7463,0,1.0,Some-college,Female,Black
16392,0,1.0,Masters,Male,White
26929,1,0.0,Bachelors,Male,White
31982,0,0.0,Bachelors,Male,White
3775,0,1.0,Some-college,Female,White
29463,0,1.0,Bachelors,Male,White
15175,0,1.0,Bachelors,Female,White
12191,0,1.0,Some-college,Male,White
16576,1,0.0,Some-college,Male,Asian-Pac-Islander
17540,1,0.0,Doctorate,Male,Asian-Pac-Islander
29162,0,1.0,10th,Male,White
266,0,1.0,Some-college,Male,White
16277,1,1.0,Some-college,Male,Black
26961,0,1.0,HS-grad,Female,White
16618,0,1.0,Some-college,Female,White
25909,1,1.0,Bachelors,Male,White
4636,1,1.0,Assoc-acdm,Male,White
23629,0,1.0,12th,Male,White
29251,1,1.0,Bachelors,Female,White
6544,0,1.0,9th,Female,Black
21079,1,0.0,Masters,Female,White
24341,0,1.0,HS-grad,Female,White
6032,1,0.0,Assoc-acdm,Female,Asian-Pac-Islander
31632,0,1.0,HS-grad,Male,White
12266,1,0.0,Bachelors,Female,White
29850,0,1.0,Some-college,Male,White
4194,0,1.0,12th,Male,White
18294,0,1.0,Some-college,Female,White
10525,0,1.0,Bachelors,Female,White
21985,0,1.0,Some-college,Female,White
24224,0,1.0,HS-grad,Male,White
23404,1,1.0,HS-grad,Male,White
26062,0,1.0,Some-college,Female,White
30252,0,1.0,Some-college,Male,White
2674,0,1.0,7th-8th,Male,White
28788,1,1.0,Assoc-voc,Female,White
19059,0,1.0,HS-grad,Female,White
519,1,0.0,Bachelors,Male,White
15012,0,1.0,5th-6th,Male,White
16781,0,1.0,11th,Male,White
32040,0,0.0,Bachelors,Male,Black
17127,0,1.0,HS-grad,Male,White
6465,1,0.0,Prof-school,Male,White
10910,1,0.0,Bachelors,Female,White
28412,0,1.0,Some-college,Female,White
7233,0,1.0,Some-college,Female,White
31159,1,1.0,HS-grad,Male,White
11314,1,0.0,Doctorate,Male,White
10989,1,0.0,Bachelors,Male,White
4698,0,1.0,9th,Male,White
15567,1,1.0,11th,Female,White
872,1,0.0,Masters,Male,White
29818,0,1.0,HS-grad,Female,White
10833,0,1.0,HS-grad,Male,White
9854,0,1.0,HS-grad,Male,White
14305,0,1.0,Masters,Male,White
2728,0,1.0,Some-college,Female,White
17601,0,0.0,Assoc-voc,Male,White
17897,0,1.0,Assoc-voc,Male,White
14170,0,1.0,Some-college,Female,White
24790,1,0.0,Prof-school,Male,White
20564,0,1.0,Bachelors,Female,Black
25005,0,1.0,HS-grad,Male,White
21163,1,1.0,Assoc-acdm,Male,White
243,0,1.0,Some-college,Male,White
27384,0,1.0,11th,Male,White
24533,1,0.0,Bachelors,Male,White
28016,0,1.0,HS-grad,Female,White
5595,1,1.0,HS-grad,Male,White
9870,0,1.0,Some-college,Female,White
32312,0,1.0,12th,Male,White
8945,0,1.0,HS-grad,Male,White
23004,0,0.0,Bachelors,Male,White
17317,0,1.0,HS-grad,Female,White
867,0,1.0,11th,Male,White
20197,0,1.0,Bachelors,Female,White
14469,0,1.0,Masters,Female,White
12047,0,1.0,9th,Female,Black
3865,1,1.0,HS-grad,Female,White
12400,0,1.0,Some-college,Female,White
18301,0,1.0,Some-college,Female,White
4954,0,1.0,HS-grad,Female,White
13195,0,0.0,Assoc-acdm,Female,White
3164,1,0.0,Prof-school,Male,White
907,0,1.0,Bachelors,Male,Black
17445,0,1.0,1st-4th,Male,White
21055,0,1.0,Some-college,Female,White
32398,0,1.0,HS-grad,Male,White
29223,0,1.0,10th,Male,White
15284,1,1.0,Some-college,Male,White
8974,0,1.0,HS-grad,Female,White
31023,0,1.0,HS-grad,Male,Black
5653,0,1.0,Assoc-voc,Male,White
2397,0,1.0,Some-college,Female,White
17074,0,1.0,9th,Male,White
19824,0,1.0,HS-grad,Male,White
25738,1,0.0,Some-college,Female,White
24943,1,0.0,Bachelors,Male,White
11086,0,1.0,Bachelors,Male,White
29953,0,1.0,11th,Female,White
19857,0,1.0,Some-college,Female,Black
7235,0,1.0,Bachelors,Female,White
3736,0,1.0,Assoc-voc,Female,White
13963,1,0.0,Bachelors,Male,White
10248,1,0.0,Assoc-voc,Male,White
22525,0,1.0,HS-grad,Male,White
10411,0,1.0,HS-grad,Male,White
21353,0,1.0,HS-grad,Female,White
11416,1,1.0,HS-grad,Male,White
17133,0,1.0,HS-grad,Female,White
26423,0,1.0,HS-grad,Male,White
15554,0,1.0,Some-college,Male,White
23476,0,1.0,HS-grad,Male,White
17514,0,1.0,Bachelors,Male,White
15523,0,1.0,HS-grad,Female,White
29962,0,1.0,Some-college,Male,White
19686,0,1.0,Some-college,Male,Black
30444,0,1.0,10th,Male,White
31888,0,1.0,HS-grad,Male,White
23324,1,0.0,Bachelors,Female,White
14287,0,1.0,10th,Male,White
31721,0,1.0,Some-college,Male,White
27129,0,1.0,Some-college,Male,White
22300,0,1.0,1st-4th,Female,White
6672,0,1.0,Assoc-voc,Female,Other
32091,0,1.0,Bachelors,Female,White
2995,0,1.0,11th,Male,White
23504,1,0.0,Bachelors,Male,White
23719,0,1.0,Some-college,Male,White
23323,0,1.0,Bachelors,Male,White
30644,0,1.0,Assoc-acdm,Female,White
31319,0,1.0,Some-college,Female,White
15755,0,1.0,11th,Male,White
1790,0,1.0,9th,Male,White
29404,0,1.0,Some-college,Female,White
1551,0,1.0,10th,Male,White
14156,0,1.0,Some-college,Male,White
23989,0,0.0,Masters,Male,White
18103,0,1.0,Assoc-voc,Male,White
2150,0,1.0,11th,Male,Black
9728,0,1.0,HS-grad,Male,White
7279,0,1.0,HS-grad,Female,Black
17893,0,1.0,HS-grad,Male,White
27029,0,1.0,HS-grad,Male,Black
26385,0,1.0,Some-college,Female,White
30848,0,1.0,11th,Male,White
12355,1,0.0,Bachelors,Female,White
8428,0,1.0,9th,Female,White
14546,1,0.0,Masters,Male,White
2493,0,1.0,11th,Male,White
27314,1,0.0,Bachelors,Male,White
1161,0,1.0,HS-grad,Male,White
8460,0,1.0,Bachelors,Male,White
32219,0,1.0,HS-grad,Male,White
209,0,1.0,11th,Female,White
19906,0,1.0,Bachelors,Male,White
29137,0,1.0,Masters,Male,White
2480,0,0.0,Some-college,Male,White
28404,0,1.0,HS-grad,Male,Black
29286,0,1.0,7th-8th,Male,White
32498,0,0.0,HS-grad,Male,White
16009,0,1.0,HS-grad,Male,White
30281,0,0.0,Prof-school,Male,White
1848,0,1.0,Bachelors,Female,White
5431,1,1.0,Some-college,Female,White
6800,0,1.0,Some-college,Female,White
19550,1,0.0,Some-college,Male,White
24714,0,1.0,HS-grad,Female,Black
31649,0,1.0,HS-grad,Male,White
